,date,category,price,quantity,city
0,2023-04-30,toys,96,2,Minsk
1,2023-06-10,home,189,1,Berlin
2,2023-07-27,books,34,4,Warsaw
3,2023-05-25,home,464,1,Minsk
4,2023-06-06,home,141,1,Berlin
5,2023-08-19,clothes,41,2,Warsaw
6,2023-04-03,books,48,4,Moscow
7,2023-04-26,books,32,1,Berlin
8,2023-05-27,books,17,2,Praga
9,2023-08-04,home,330,3,Minsk
10,2023-08-30,toys,117,2,Berlin
11,2023-05-23,books,50,5,Berlin
12,2023-05-13,home,184,2,Praga
13,2023-05-19,clothes,128,2,Warsaw
14,2023-05-12,toys,143,2,Moscow
15,2023-04-11,clothes,43,1,Praga
16,2023-07-12,toys,28,4,Moscow
17,2023-07-07,home,132,2,Warsaw
18,2023-08-24,electronics,939,2,Berlin
19,2023-06-24,toys,124,5,Moscow
20,2023-07-09,clothes,28,5,Minsk
21,2023-07-13,home,161,3,Minsk
22,2023-09-27,toys,111,3,Praga
23,2023-05-16,electronics,1903,5,Warsaw
24,2023-05-14,electronics,1218,4,Praga
25,2023-04-22,books,33,3,Praga
26,2023-09-28,books,28,4,Praga
27,2023-07-23,clothes,67,5,Minsk
28,2023-08-03,toys,78,3,Minsk
29,2023-08-02,toys,128,2,Praga
30,2023-04-30,books,49,5,Minsk
31,2023-04-08,toys,134,3,Warsaw
32,2023-07-07,toys,23,4,Praga
33,2023-05-27,electronics,942,4,Minsk
34,2023-07-20,books,33,3,Moscow
35,2023-06-12,home,183,4,Praga
36,2023-07-24,books,11,3,Praga
37,2023-04-20,home,86,3,Warsaw
38,2023-04-25,electronics,764,4,Berlin
39,2023-04-19,clothes,37,1,Berlin
40,2023-04-05,toys,47,2,Warsaw
41,2023-06-14,electronics,1922,5,Warsaw
42,2023-08-06,toys,138,2,Warsaw
43,2023-06-11,clothes,63,5,Berlin
44,2023-09-02,clothes,66,5,Warsaw
45,2023-05-10,electronics,746,2,Minsk
46,2023-04-26,clothes,79,3,Praga
47,2023-04-27,home,139,4,Praga
48,2023-06-22,clothes,71,1,Moscow
49,2023-08-06,toys,17,1,Moscow
50,2023-09-25,toys,116,1,Praga
51,2023-09-17,toys,140,2,Minsk
52,2023-09-04,toys,105,2,Berlin
53,2023-09-14,home,75,3,Berlin
54,2023-09-16,books,10,1,Minsk
55,2023-05-03,electronics,834,3,Berlin
56,2023-07-06,toys,60,1,Warsaw
57,2023-07-20,clothes,142,2,Praga
58,2023-04-16,toys,14,4,Praga
59,2023-04-23,clothes,96,4,Minsk
60,2023-08-13,clothes,179,4,Berlin
61,2023-04-26,toys,10,4,Moscow
62,2023-07-05,home,254,5,Moscow
63,2023-04-12,clothes,30,1,Berlin
64,2023-06-11,clothes,200,4,Moscow
65,2023-08-11,toys,17,5,Minsk
66,2023-07-15,clothes,172,5,Minsk
67,2023-07-26,clothes,187,5,Berlin
68,2023-09-24,toys,41,3,Moscow
69,2023-04-26,toys,37,3,Minsk
70,2023-08-11,electronics,1941,5,Minsk
71,2023-04-22,home,436,4,Warsaw
72,2023-04-13,home,277,1,Warsaw
73,2023-09-03,clothes,147,2,Minsk
74,2023-09-08,home,304,3,Berlin
75,2023-07-16,clothes,81,4,Praga
76,2023-04-23,electronics,1980,4,Praga
77,2023-07-06,toys,54,2,Minsk
78,2023-04-18,toys,114,2,Minsk
79,2023-07-26,toys,101,4,Minsk
80,2023-04-30,home,330,2,Berlin
81,2023-04-26,electronics,433,4,Warsaw
82,2023-08-22,home,238,2,Minsk
83,2023-05-09,home,93,2,Minsk
84,2023-09-08,electronics,1205,4,Moscow
85,2023-09-01,electronics,936,5,Berlin
86,2023-09-23,electronics,1141,4,Minsk
87,2023-09-13,electronics,1365,1,Moscow
88,2023-08-08,toys,145,2,Praga
89,2023-07-22,books,18,3,Minsk
90,2023-08-12,books,5,2,Minsk
91,2023-05-16,electronics,791,1,Moscow
92,2023-05-20,books,22,3,Berlin
93,2023-09-13,books,11,3,Minsk
94,2023-07-15,electronics,1942,4,Praga
95,2023-08-24,books,28,5,Minsk
96,2023-09-02,home,226,4,Praga
97,2023-09-16,clothes,146,3,Warsaw
98,2023-06-11,clothes,74,3,Warsaw
99,2023-06-13,electronics,1364,5,Praga
100,2023-04-17,toys,65,2,Berlin
101,2023-09-04,electronics,1750,5,Minsk
102,2023-06-09,toys,67,4,Minsk
103,2023-08-28,clothes,182,2,Warsaw
104,2023-04-06,electronics,287,4,Praga
105,2023-04-26,home,146,5,Minsk
106,2023-09-14,books,20,2,Minsk
107,2023-08-18,toys,17,5,Berlin
108,2023-07-08,books,33,1,Moscow
109,2023-08-20,books,27,3,Warsaw
110,2023-04-22,electronics,1908,2,Warsaw
111,2023-05-21,books,35,3,Moscow
112,2023-08-29,home,89,1,Minsk
113,2023-09-23,books,18,2,Berlin
114,2023-07-13,electronics,898,3,Berlin
115,2023-09-25,home,294,3,Warsaw
116,2023-06-28,clothes,72,2,Berlin
117,2023-08-19,books,43,3,Moscow
118,2023-08-16,electronics,1606,3,Minsk
119,2023-09-30,clothes,174,2,Moscow
120,2023-04-09,clothes,194,3,Praga
121,2023-06-18,toys,89,3,Warsaw
122,2023-05-22,home,164,4,Berlin
123,2023-08-08,books,10,4,Praga
124,2023-08-31,electronics,510,1,Berlin
125,2023-04-13,toys,53,4,Minsk
126,2023-05-21,home,67,4,Minsk
127,2023-05-04,toys,25,1,Minsk
128,2023-05-05,home,61,3,Berlin
129,2023-08-09,home,453,3,Praga
130,2023-07-29,books,49,4,Minsk
131,2023-06-09,home,241,1,Praga
132,2023-09-23,toys,102,3,Berlin
133,2023-08-25,home,267,5,Praga
134,2023-06-06,books,26,2,Berlin
135,2023-07-12,books,37,2,Berlin
136,2023-06-12,toys,56,2,Warsaw
137,2023-07-25,clothes,48,4,Berlin
138,2023-08-11,clothes,64,2,Berlin
139,2023-06-06,home,126,2,Moscow
140,2023-08-17,electronics,1219,5,Minsk
141,2023-07-30,home,58,3,Warsaw
142,2023-07-03,toys,33,5,Warsaw
143,2023-08-07,toys,24,4,Warsaw
144,2023-06-30,toys,22,2,Moscow
145,2023-07-01,toys,100,3,Berlin
146,2023-06-02,toys,110,2,Minsk
147,2023-04-29,books,11,2,Praga
148,2023-04-12,clothes,141,4,Berlin
149,2023-06-16,toys,85,2,Moscow
150,2023-05-11,electronics,1387,1,Berlin
151,2023-08-08,electronics,571,3,Berlin
152,2023-05-07,electronics,1796,3,Moscow
153,2023-09-20,electronics,1199,1,Warsaw
154,2023-09-23,books,21,4,Warsaw
155,2023-04-24,electronics,1647,2,Minsk
156,2023-07-08,toys,135,2,Minsk
157,2023-08-28,home,204,3,Warsaw
158,2023-07-09,electronics,456,4,Praga
159,2023-08-17,books,38,4,Berlin
160,2023-05-28,books,8,4,Praga
161,2023-09-21,electronics,543,2,Berlin
162,2023-04-29,home,326,4,Warsaw
163,2023-09-10,electronics,872,1,Minsk
164,2023-08-21,books,11,5,Minsk
165,2023-05-30,clothes,22,4,Praga
166,2023-07-04,toys,60,5,Minsk
167,2023-05-12,books,19,2,Warsaw
168,2023-05-13,electronics,1318,4,Praga
169,2023-06-13,toys,132,3,Berlin
170,2023-09-24,electronics,386,2,Minsk
171,2023-09-07,electronics,1997,1,Moscow
172,2023-06-03,clothes,176,1,Minsk
173,2023-04-02,toys,26,5,Berlin
174,2023-08-30,toys,126,5,Praga
175,2023-06-05,clothes,79,3,Berlin
176,2023-09-13,books,26,3,Moscow
177,2023-05-01,electronics,607,1,Warsaw
178,2023-07-24,home,174,4,Minsk
179,2023-04-26,electronics,1560,1,Praga
180,2023-04-29,electronics,540,1,Warsaw
181,2023-06-17,books,15,3,Berlin
182,2023-04-25,electronics,1151,5,Praga
183,2023-05-18,clothes,90,3,Warsaw
184,2023-06-04,clothes,189,3,Praga
185,2023-09-28,toys,48,3,Moscow
186,2023-06-06,home,118,1,Moscow
187,2023-06-29,electronics,1459,4,Minsk
188,2023-08-24,electronics,1783,1,Minsk
189,2023-08-15,books,25,2,Moscow
190,2023-05-08,clothes,101,3,Praga
191,2023-06-26,home,148,3,Moscow
192,2023-08-27,toys,24,2,Minsk
193,2023-06-04,clothes,88,3,Moscow
194,2023-08-27,toys,85,3,Moscow
195,2023-04-27,books,25,3,Praga
196,2023-07-15,books,41,2,Warsaw
197,2023-08-01,electronics,845,1,Minsk
198,2023-05-14,home,75,3,Praga
199,2023-07-09,toys,17,4,Moscow
200,2023-04-28,clothes,23,2,Moscow
201,2023-09-20,books,25,5,Warsaw
202,2023-04-17,electronics,348,2,Minsk
203,2023-08-05,electronics,1711,1,Minsk
204,2023-08-01,toys,34,2,Berlin
205,2023-09-15,books,43,5,Minsk
206,2023-08-09,home,192,4,Warsaw
207,2023-06-15,books,39,5,Berlin
208,2023-05-16,toys,52,2,Berlin
209,2023-09-05,toys,46,5,Moscow
210,2023-06-08,books,46,2,Moscow
211,2023-08-15,toys,101,4,Minsk
212,2023-06-24,books,18,4,Berlin
213,2023-04-11,clothes,87,1,Moscow
214,2023-06-08,books,24,4,Warsaw
215,2023-07-08,books,38,3,Moscow
216,2023-06-30,toys,85,5,Moscow
217,2023-09-06,toys,106,5,Berlin
218,2023-09-08,electronics,1115,2,Berlin
219,2023-09-14,electronics,908,4,Praga
220,2023-07-03,clothes,49,1,Warsaw
221,2023-09-21,electronics,1311,1,Berlin
222,2023-09-12,books,47,1,Minsk
223,2023-07-24,toys,16,3,Warsaw
224,2023-05-01,electronics,749,4,Warsaw
225,2023-04-11,electronics,1175,1,Berlin
226,2023-06-26,clothes,71,3,Warsaw
227,2023-07-30,clothes,162,5,Berlin
228,2023-08-08,books,50,2,Moscow
229,2023-07-14,toys,149,4,Praga
230,2023-04-27,clothes,191,4,Moscow
231,2023-04-02,electronics,1975,5,Berlin
232,2023-07-12,toys,102,4,Berlin
233,2023-07-10,toys,116,4,Moscow
234,2023-04-21,electronics,581,4,Minsk
235,2023-05-28,clothes,68,4,Minsk
